year,month,day,latitude,longitude,nkill,nkillus,nkillter
2004,3,22,32.315566,70.154515,8,0,0
2004,6,4,32.687926,69.832993,0,0,0
2004,6,9,32.301964,69.590665,0,0,0
2004,6,10,32.301964,69.590665,24,0,NA
2004,6,16,32.301964,69.590665,3,0,NA
2004,8,17,32.483389,69.626894,1,0,0
2004,8,26,32.386811,69.689823,1,0,0
2004,8,26,32.4111972,69.6711087,2,0,0
2004,8,28,32.301964,69.590665,2,0,0
2004,9,5,32.483389,69.626894,3,0,0
2004,9,29,32.563995,69.832404,1,0,0
2004,10,24,32.292562,69.739773,2,0,0
2004,10,24,32.620653,69.839388,1,0,0
2004,10,26,32.329315,69.856396,14,0,0
2004,10,29,32.687926,69.832993,1,0,0
2004,12,23,32.620653,69.839388,1,0,0
2005,2,7,32.301964,69.590665,2,0,0
2005,3,1,32.563995,69.832404,0,0,0
2005,3,29,32.998617,70.067081,0,0,0
2005,5,8,32.969967,70.276797,2,0,0
2005,5,14,32.301964,69.590665,0,0,0
2005,5,29,32.301964,69.590665,3,0,0
2005,6,20,32.301964,69.590665,2,0,0
2005,7,6,32.617762,69.515765,1,0,NA
2005,7,7,32.969967,70.276797,1,0,0
2005,7,21,33.739559,70.332789,2,0,0
2005,7,28,32.301964,69.590665,0,0,0
2005,8,10,32.570144,69.457412,4,0,0
2005,8,14,32.483389,69.626894,0,0,0
2005,9,5,32.998617,70.067081,2,0,0
2005,9,18,32.998617,70.067081,0,0,0
2005,9,20,32.483389,69.626894,2,0,0
2005,10,24,32.329315,69.856396,1,0,0
2005,11,5,32.824731,70.067644,8,0,NA
2005,12,29,34.099865,71.149494,0,0,0
2006,2,4,32.067866,69.35177,3,0,0
2006,2,7,32.301964,69.590665,0,0,0
2006,2,7,32.301964,69.590665,0,0,0
2006,2,8,32.301964,69.590665,1,0,0
2006,2,20,32.515069,69.288527,0,0,0
2006,2,22,32.301964,69.590665,1,0,0
2006,3,27,32.483389,69.626894,0,0,0
2006,4,3,32.94756,70.012672,5,0,0
2006,4,3,32.998617,70.067081,5,0,0
2006,4,3,32.906013,69.748012,0,0,0
2006,4,3,33.13317,70.034799,0,0,0
2006,4,3,32.330271,70.118577,4,0,0
2006,4,3,32.904161,69.713126,2,0,0
2006,4,10,33.069496,70.046753,2,0,0
2006,4,12,32.969739,70.276819,0,0,0
2006,4,13,32.301964,69.590665,2,0,0
2006,4,19,33.172958,70.401826,0,0,0
2006,4,20,32.876494,70.114837,10,0,4
2006,5,1,32.998617,70.067081,1,0,0
2006,5,3,34.856902,71.429936,3,0,0
2006,5,5,34.8079895,71.3465881,1,0,0
2006,5,0,34.8079895,71.3465881,1,0,0
2006,5,17,34.735879,71.525833,0,0,0
2006,5,28,32.906013,69.748012,3,0,1
2006,5,28,32.969967,70.276797,1,0,0
